Dec. 2023, "Evaluating Sufficiency and Necessity in Model Building with Coincidence Analysis, 11th International QCA Expert Workshop 2023, University of Antwerp."
Sept. 2023, "Introducing the Basics of Causal Data Analysis with Coincidence Analysis (CNA) for Implementation Research, Methods Training Workshop, Yale School of Public Health."
Aug. 2023, "Boolean Difference-Making: A Modern Regularity Theory of Causation, Workshop on Causation, Dependence, and Regularity, University of Bergen."
Dec. 2021, "Scoring in Configurational Comparative Methods: Current Developments in CNA and Avenues for QCA, 9th International QCA Expert Workshop 2021, online via Zoom, hosted by ETH Zuerich."
Nov. 2021, "Causal Reasoning and Boolean Minimization -- Panel with Sjur Dyrkolbotn, Department of Informatics, University of Bergen."
Nov. 2020, "Robustness and Model Selection in Configurational Causal Modeling, 8th International QCA Expert Workshop 2020, online via Zoom, hosted by ETH Zuerich."
Dez. 2019, "Optimizing Consistency and Coverage in Configurational Causal Modeling, 7th International QCA Expert Workshop 2019, ETH Zuerich."
Oct. 2019, "An Abductive Theory of Constitution, Seton Hall University, New Jersey, workshop on Compositional Explanation in Biology and the Neurosciences."
Nov. 2018, "Point-counter-point Debate on Solution Types, 6th International QCA Expert Workshop 2018, ETH Zuerich."
May 2018, "Are There Multiple Viable QCA Systems? Point-counter-point Debate on Solution Types, International QCA Summer Workshop, University of Wuppertal."
Dec. 2017 ,"Causal Modeling with Multi-Value and Fuzzy-Set Coincidence Analysis, 5th International QCA Expert Workshop 2017, ETH Zuerich. "
Nov. 2017 ,"The Inherent Empirical Underdetermination of Mental Causation, University of Stockholm. "
Oct. 2017 ,"Razoring Mental Causation non-Sober Style, University of Copenhagen, workshop on Elliott Sober's User's Manual on Ockham's Razors (2015). "
May 2017,"Boolean Difference-Making: A Modern Regularity Theory of Causation, University of Bergen, the Bergen Philosophy of Science Workshop. "
April 2017,"Causal Modeling with Multi-Value and Fuzzy-Set Coincidence Analysis, University of Nottingham, Joint Sessions of the European Consortium for Political Research. "
Dec. 2016 ,"Boolean Difference-Making: A Modern Regularity Theory of Causation, University of Copenhagen, workshop on Current Issues in Causation. "
Sept. 2016 ,"A Bayesian Theory of Constitution, University of Geneva, 2nd Society for Metaphysics of Science conference. "
June 2016,"The Inherent Empirical Underdetermination of Mental Causation, University of Aarhus, conference on Causality in the Sciences of the Mind and Brain."
April 2016,"The Inherent Empirical Underdetermination of Mental Causation, University of Glasgow, workshop of the Glasgow Emergence Project."
March 2016,"Bayesian Constitutional Discovery, University of Duesseldorf, GWP.2016."
Sept. 2015 ,"Establishing Constitutional Relations, in Theory and in Practice, University of Duesseldorf, EPSA15."
Sept. 2015 ,"Mutual Manipulability and the Extension of Cognition, University of Osnabrueck, GAP.9. "
Jan. 2015 ,"When There is More Than Meets the Eye: Model Ambiguities in Configurational Comparative Research, Tilburg University, conference on Qualitative Comparative Analysis -- Social Science Applications and Methodological Challenges. "
Nov. 2014 ,"Interventionist Remedies Against Causal Exclusion: Attractive But Ineffective, KU Leuven, workshop on Mental Causation: Old Problems, New Solutions? "
Nov. 2014 ,"Conceptual Foundations of QCA: From Hume and Mill via Reichenbach and Mackie to QCA, ETH Zuerich, 2nd International QCA Expert Workshop. "
